disease,year,yhat,yhat_lower,yhat_upper
Dengue,2000,-34237.6735446355,-3275524.6879713717,2803054.9278069655
Dengue,2001,174395.060242225,-2826019.8870940898,3076600.2891172203
Dengue,2002,382457.75922544673,-2574484.7901055487,3328222.2696153275
Dengue,2003,590520.4581818363,-2170177.4892983167,3491501.533899038
Dengue,2004,798583.157155423,-2172132.9955047825,3779242.2888899255
Dengue,2005,1007215.8909281929,-1975102.5874916404,3797493.5405944968
Dengue,2006,1215278.5898939567,-1680559.36220744,4356928.030980979
Dengue,2007,1423341.2888494835,-1247286.3053389827,4281908.136365845
Dengue,2008,1631403.9878409428,-1314890.679359018,4496634.546488963
Dengue,2009,1840036.7216273453,-1099388.2472133983,4860670.242549863
Dengue,2010,2048099.4206294331,-843172.8677600453,5052788.05871248
Dengue,2011,2256162.1196373147,-956513.6068758528,5287400.45462223
Dengue,2012,2464224.818668942,-553757.235422153,5606477.624508455
Dengue,2013,2672857.5525247734,-89633.45036406806,5665663.078538275
Dengue,2014,2880920.251593692,-24976.756675018256,5981249.521068401
Dengue,2015,3088982.9506795206,146086.0154105889,6099139.273391308
Dengue,2016,3297045.649762279,443477.4364873693,6311556.076749327
Dengue,2017,3505678.383639054,505588.42329025816,6216726.148241096
Dengue,2018,3713741.082731008,581927.4742340741,6776188.133631798
Dengue,2019,3921803.781858033,665291.8736135722,6710789.681521455
Dengue,2020,4129866.480961492,1382929.8806233436,6894176.520988897
Dengue,2021,4338499.214857016,1408085.2756593637,7364974.69669704
Dengue,2022,4546561.913960475,1847868.9615539438,7467141.703641012
Dengue,2023,4754624.613063934,1866124.8520512737,7518987.880055894
Dengue,2024,4962687.312167393,1891863.1329409496,7997739.315076733
Dengue,2025,5171320.0460629165,2247241.720483442,8321939.3249264145
Dengue,2026,5379382.745166376,2275046.813664797,8204126.924389374
Dengue,2027,5587445.444269835,2701763.7129981373,8491693.78325185
Dengue,2028,5795508.143373294,2876099.9021563563,8921044.42299058
Dengue,2029,6004140.877268818,3039398.0114452653,8877561.873105707
Dengue,2030,6212203.576372277,3312044.388540116,9237156.770578356
Cholera,2000,243169.49985834,100208.94128328284,389891.5044997674
Cholera,2001,234202.37600883842,80684.0997514744,392319.4912319652
Cholera,2002,225259.75247928294,86072.74291282597,365329.42753523524
Cholera,2003,216317.128948589,74202.25237773471,359470.59228703193
Cholera,2004,207374.50543195722,70104.5228156974,351689.4240571564
Cholera,2005,198407.38158597882,49542.262736804725,334429.82977907115
Cholera,2006,189464.75808382555,30708.94459105623,326028.57252104813
Cholera,2007,180522.13456451584,46775.19344967052,333072.51972498634
Cholera,2008,171579.51102677346,16354.464236114422,308883.88180595567
Cholera,2009,162612.38714414617,15794.606518667215,297224.09606191335
Cholera,2010,153669.76256097187,4160.664552489669,292185.1047011267
Cholera,2011,144727.13797521673,8919.834148183438,288885.5891092496
Cholera,2012,135784.51337618328,-11905.768472983036,270160.10330181103
Cholera,2013,126817.38844347236,-17183.999904468797,269915.21853314515
Cholera,2014,117874.76385819438,-27295.21106127631,260114.27207798912
Cholera,2015,108932.13927057433,-32068.539692550698,249467.37753222836
Cholera,2016,99989.51468688698,-43453.91710821954,254570.79356877314
Cholera,2017,91022.38977165437,-42634.60754914051,246038.23695723023
Cholera,2018,82079.74658724066,-55008.436544754564,226792.1050271421
Cholera,2019,73137.10339196208,-62278.97550906423,205119.83002763192
Cholera,2020,64194.46021069819,-77507.39834830689,220034.24078342417
Cholera,2021,55227.31663715685,-93689.76299671918,198100.77173661368
Cholera,2022,46284.673455893,-99726.73618418073,189332.94630163358
Cholera,2023,37342.030274629105,-92757.41941574958,191509.21551177473
Cholera,2024,28399.387093365218,-104286.13671449889,174448.19125011386
Cholera,2025,19432.24351982391,-131839.2560406074,155865.00852566105
Cholera,2026,10489.600338560023,-128448.87728581882,150055.86801743112
Cholera,2027,1546.9571572961677,-151041.9005907955,148488.647039224
Cholera,2028,-7395.68602396772,-160507.10632883915,135280.87476331042
Cholera,2029,-16362.82959750906,-161961.8997535251,135625.3622984274
Cholera,2030,-25305.472778772917,-176081.89316157292,124112.92745895596
